,title,developers,publishers,release_date,platforms,genres,score,reviewed_by
125,Ratchet and Clank: Rift Apart ,Insomniac Games,Sony Interactive Entertainment,2021-06-10,PlayStation 5,"Action,  Platformer",9,Jonathon Dornbush
126,Guilty Gear Strive ,ARC System Works,ARC System Works,2021-06-11,"PlayStation 5,  PC,  PlayStation 4,  Arcade",Fighting,9,Mitchell Saltzman
127,Wonder Boy: Asha in Monster World ,ArtDink,"ArtDink, ININ Games",2021-05-28,"PlayStation 4,  Nintendo Switch,  PC","Action,  Platformer",5,Alex Santa Maria
128,Necromunda: Hired Gun ,Streum On Studio,Focus Home Interactive,2021-06-01,"Xbox One,  Xbox Series X|S,  PlayStation 4,  PlayStation 5,  PC","Shooter,  First-Person",5,Travis Northup
129,Knockout City ,Velan Studios,Electronic Arts,2021-05-21,"Nintendo Switch,  Xbox One,  PlayStation 4,  PC","Action,  Sports,  Volleyball",9,Jarrett Green
130,Iron Harvest: Operation Eagle ,King Art,Deep Silver,2020-09-01,"PC,  Xbox One,  Xbox Series X|S,  PlayStation 5,  PlayStation 4",Strategy,7,Jon Bolding
133,Biomutant ,Experiment 101,THQ Nordic,2021-05-25,"Xbox One,  PC,  PlayStation 4","Action,  Adventure",6,Luke Reilly
134,Mass Effect Legendary Edition  Part 1: Mass Effect,BioWare,Electronic Arts,2021-05-14,"Xbox One,  PlayStation 4,  PC","Compilation,  RPG",8,Dan Stapleton
135,Just Die Already ,DoubleMoose,Curve Digital,2021-05-20,"PC,  PlayStation 4,  Xbox One,  Nintendo Switch,  Xbox Series X|S,  PlayStation 5",Action,5,Jarrett Green
136,Fast & Furious: Highway Heist ,Funko Games,Funko Games,2021-06-30,Tabletop,Board,7,Matt Thrower
137,Hood: Outlaws & Legends ,Sumo Digital,Focus Home Interactive,2021-05-10,"PC,  Xbox One,  Xbox Series X|S,  PlayStation 4,  PlayStation 5",Action,6,Travis Northup
138,Assassin's Creed Valhalla: Wrath of the Druids ,Ubisoft Bordeaux,Ubisoft,2021-05-13,"PlayStation 4,  PlayStation 5,  Xbox One,  Xbox Series X|S,  PC","Action,  Adventure,  DLC / Expansion",7,Jarrett Green
139,Subnautica: Below Zero ,Unknown Worlds Entertainment,Unknown Worlds Entertainment,2021-05-14,"PC,  Xbox Series X|S,  Nintendo Switch,  PlayStation 4,  PlayStation 5,  Xbox One","Action,  Adventure",9,Leana Hafer
140,Resident Evil Village ,Capcom,Capcom,2021-05-07,"PlayStation 5,  Xbox Series X|S,  PC,  PlayStation 4,  Xbox One,  Stadia","Action,  Horror",8,Tristan Ogilvie
141,Returnal ,"XDev Studios Europe,  Housemarque",Sony Interactive Entertainment,2021-04-30,PlayStation 5,"Shooter,  Third-Person,  Roguelike / Rogue-Lite",8,Mitchell Saltzman
142,Total War: Rome Remastered ,"Creative Assembly,  Feral Interactive","SEGA, Feral Interactive",2021-04-29,"PC,  Macintosh,  Linux",Strategy,7,Leana Hafer
143,New Pokémon Snap ,Bandai Namco Studios,"Nintendo, The Pokemon Company",2021-04-30,Nintendo Switch,Action,8,Rebekah Valentine
144,MotoGP 21 ,Milestone,Milestone,2021-04-22,"PC,  Nintendo Switch,  Xbox Series X|S,  Xbox One,  PlayStation 5,  PlayStation 4,  Stadia",Racing,7,Luke Reilly
145,NieR Replicant Ver. 1.22474487139 ,"Cavia,  Toylogic",Square Enix,2021-04-22,"PlayStation 4,  Xbox One,  PC","Action,  RPG",8,Mitchell Saltzman
146,MLB The Show 21 ,SIE San Diego Studio,"Sony Interactive Entertainment, MLB",2021-04-20,"Xbox Series X|S,  Xbox One,  PlayStation 5,  PlayStation 4",Sports,8,Gabriel Moss
147,Outriders ,People Can Fly,Square Enix,2021-04-01,"Stadia,  Xbox Series X|S,  PlayStation 5,  Xbox One,  PlayStation 4,  PC",Shooter,7,Jon Ryan
148,Pac-Man 99 ,Bandai Namco Games,Bandai Namco Games,2021-04-08,Nintendo Switch,"Action,  Battle Royale",7,Seth G. Macy
149,Oddworld: Soulstorm ,"Frima Studios,  Oddworld Inhabitants",Oddworld Inhabitants,2021-04-05,"PlayStation 4,  PC,  PlayStation 5,  Xbox Series X|S,  Xbox One",Adventure,7,Travis Northup
150,Magic Legends Open Beta ,Cryptic Studios,Perfect World Entertainment,2021-03-23,PC,RPG,5,David Jagneaux
151,Doom 3: VR Edition ,"Id Software,  Archiact Interactive",Bethesda  Softworks,2021-03-28,PlayStation 4,"Shooter,  First-Person,  VR",5,Gabriel Moss
152,Arkham Horror: Mother's Embrace ,Artefacts Studio,Asmodee Digital,2021-03-23,"Xbox One,  PlayStation 4,  Nintendo Switch,  PC","Horror,  Strategy",5,Jarrett Green
153,Disco Elysium - The Final Cut ,ZA/UM,ZA/UM,2021-03-30,"PlayStation 5,  PlayStation 4,  iPhone,  Stadia,  PC,  Xbox Series X|S,  Nintendo Switch,  Xbox One",RPG,10,Simon Cardy
154,Balan Wonderworld ,Balan Company,Square Enix,2021-03-26,"Nintendo Switch,  PlayStation 4,  PlayStation 5,  Xbox One,  Xbox Series X|S,  PC","Action,  Platformer",4,Tom Marks
155,Can't Drive This ,Pixel Maniacs,Pixel Maniacs,2016-09-25,"PC,  Nintendo Switch,  Xbox One,  Xbox Series X|S,  PlayStation 4,  PlayStation 5",Racing,7,Luke Reilly
156,Narita Boy ,Studio Koba,Team17 Software,2021-03-30,"Nintendo Switch,  PlayStation 4,  Xbox One,  PC,  Luna","Action,  Adventure",6,Mitchell Saltzman
157,Evil Genius 2: World Domination ,Rebellion,Rebellion,2021-03-31,"PC,  PlayStation 5,  PlayStation 4,  Xbox Series X|S,  Xbox One",Strategy,6,Leana Hafer
158,Immortals Fenyx Rising - Myths of the Eastern Realm ,Ubisoft Quebec City,Ubisoft,2020-12-03,"Xbox Series X|S,  PlayStation 5,  Nintendo Switch,  Stadia,  PC,  Xbox One,  PlayStation 4",Action,6,Cam Shea
159,It Takes Two ,Hazelight Studios,Electronic Arts,2021-03-26,"Xbox Series X|S,  Xbox One,  PlayStation 5,  PlayStation 4,  PC","Action,  Adventure,  Platformer",9,Tristan Ogilvie
160,Paradise Lost ,PolyAmorous,All in! Games,2021-03-24,"Xbox One,  PlayStation 4,  PC","Adventure,  First-Person",5,Tristan Ogilvie
161,Doom Eternal: The Ancient Gods Part 2 ,"Id Software,  Panic Button",Bethesda  Softworks,2020-03-20,"Stadia,  PlayStation 4,  Xbox One,  PC,  Nintendo Switch",Shooter,8,Ryan McCaffrey
162,Monster Hunter Rise ,Capcom,Capcom,2021-03-25,"Nintendo Switch,  PC",Action,8,Tom Marks
163,Story of Seasons: Pioneers of Olive Town ,Marvelous Entertainment,"Marvelous Entertainment, Xseed Games",2021-03-23,"Nintendo Switch,  PC","RPG,  Simulation",7,Rebekah Valentine
164,Loop Hero ,Four Quarters Team,Devolver Digital,2021-03-04,"PC,  Nintendo Switch",RPG,8,Jon Bolding
166,The Outer Worlds: Murder on Eridanos DLC ,"Obsidian Entertainment,  Virtuos Games",Private Division,2019-10-25,"PlayStation 4,  PC,  Xbox One,  Nintendo Switch",RPG,7,Dan Stapleton
167,Apex Legends  - 2021,"Panic Button,  Respawn Entertainment",Electronic Arts,2019-02-04,"PlayStation 4,  Xbox One,  PC,  Nintendo Switch","Shooter,  Battle Royale",9,Stella Chung
169,PixelJunk Raiders ,Q-Games,Q-Games,2021-03-01,Stadia,"Action,  RPG,  Roguelike / Rogue-Lite",4,Joseph Knoop
170,Dead By Daylight ,Behaviour Interactive,Behaviour Interactive,2016-06-14,"PC,  Xbox One,  PlayStation 4,  Nintendo Switch,  Stadia,  Xbox Series X|S,  PlayStation 5",Action,9,Mike Epstein
171,Harvest Moon: One World ,Natsume,"Natsume, Rising Star Games",2021-03-02,"Nintendo Switch,  PlayStation 4,  Xbox One","RPG,  Simulation",5,Rebekah Valentine
172,Cyanide & Happiness - Freakpocalypse ,Explosm Entertainment,Serenity Forge,2021-03-11,"Nintendo Switch,  PC","Adventure,  Episodic",5,Tristan Ogilvie
173,Monster Energy Supercross – The Official Videogame 4 ,Milestone,Milestone,2021-03-11,"PlayStation 4,  Xbox One,  Stadia,  Xbox Series X|S,  PlayStation 5,  PC",Racing,6,Luke Reilly
174,Stronghold Warlords ,FireFly Studios,FireFly Studios,2021-03-09,PC,Strategy,7,Leana Hafer
175,Monster Jam Steel Titans 2 ,Rainbow Studios,THQ Nordic,2021-03-02,"Stadia,  Nintendo Switch,  PC,  Xbox One,  PlayStation 4",Racing,5,Luke Reilly
176,The Climb 2 ,Crytek Studios,Crytek Studios,2021-03-04,"Oculus Quest,  PC","Sports,  Simulation,  VR",7,Gabriel Moss
177,Breathedge ,RedRuins Softworks,HypeTrain,2021-02-25,"PC,  Xbox One,  PlayStation 4,  Nintendo Switch","Sci-Fi,  Adventure",5,Jonathan Bolding
178,Maquette ,Graceful Decay,Annapurna Interactive,2021-03-02,"PlayStation 5,  PlayStation 4,  PC",Puzzle,7,Tom Marks
179,Bravely Default 2 ,ClayTechWorks,Square Enix,2021-02-26,"Nintendo Switch,  PC",RPG,8,Seth Macy
180,Curse of the Dead Gods ,Passtech Games,Focus Home Interactive,2020-03-03,"PC,  Nintendo Switch,  Xbox One,  PlayStation 4","Action,  RPG,  Roguelike / Rogue-Lite",9,Mitchell Saltzman
181,Ghosts 'n Goblins Resurrection ,Capcom,Capcom,2021-02-25,"Nintendo Switch,  PC,  Xbox One,  PlayStation 4","Action,  Platformer",8,Tristan Ogilvie
183,Ys IX: Monstrum Nox ,Nihon Falcom Corp,NIS,2021-02-02,"PlayStation 4,  Nintendo Switch,  Stadia,  PC","Action,  RPG",8,Nadia Oxford
184,Super Mario 3D World + Bowser's Fury ,"Nintendo,  Nintendo EAD Tokyo Software Development Department,  1-Up Studio",Nintendo,2021-02-12,Nintendo Switch,Platformer,7,Cam Shea
185,Persona 5 Strikers ,"Omega Force,  P-Studio",Atlus,2021-02-23,"PC,  PlayStation 4,  Nintendo Switch",Action,8,Tom Marks
186,Little Nightmares 2 ,Tarsier Studios,Bandai Namco Games,2021-02-11,"PC,  Nintendo Switch,  Stadia,  Xbox One,  PlayStation 4,  PlayStation 5,  Xbox Series X|S",Adventure,7,Tristan Ogilvie
188,Destruction AllStars ,"XDev Studios Europe,  Lucid Games",Sony Interactive Entertainment,2021-02-02,PlayStation 5,"Action,  Racing",6,Simon Cardy
189,Werewolf: The Apocalypse - Earthblood ,Cyanide,Nacon,2021-02-04,"Xbox Series X|S,  PlayStation 5,  Xbox One,  PlayStation 4,  PC","Action,  Adventure",4,Leana Hafer
190,Blue Fire ,Robi Studios,Graffiti Games,2021-02-04,"Nintendo Switch,  PC,  Stadia,  PlayStation 4","Action,  Adventure,  Platformer",8,Brendan Graeber
191,The Last Campfire ,Hello Games,Hello Games,2020-08-28,"iPhone,  PlayStation 4,  Xbox One,  PC,  Nintendo Switch",Adventure,9,Simon Cardy
192,Olija ,Skeleton Crew Studio,Skeleton Crew Studio,2021-01-28,"Xbox One,  PlayStation 4,  Nintendo Switch,  PC,  Luna","Action,  Adventure,  Platformer",7,Mitchell Saltzman
193,The Medium ,Bloober Team,Bloober Team,2021-01-28,"Xbox Series X|S,  PC,  PlayStation 5","Adventure,  Horror",8,Tristan Ogilvie
194,Skul: The Hero Slayer ,SouthPaw Games,NeoWiz ,2021-01-21,"PC,  Nintendo Switch","Action,  Platformer,  Roguelike / Rogue-Lite",8,Travis Northup
195,Cyber Shadow ,Mechanical Head Games,Yacht Club Games,2021-01-26,"Nintendo Switch,  Xbox One,  Macintosh,  PC,  PlayStation 4",Action,8,Mitchell Saltzman
198,Hitman 3 ,Io Interactive,Io Interactive,2021-01-20,"Xbox Series X|S,  PC,  Xbox One,  PlayStation 5,  PlayStation 4,  Stadia,  Nintendo Switch",Action,9,Luke Reilly
199,Factorio ,Wube Software,Wube Software,2020-08-14,PC,Strategy,8,Leana Hafer
201,Among Us ,Innersloth,Innersloth,2018-06-15,"Android,  iPhone,  PC,  Nintendo Switch,  PlayStation 5,  Xbox Series X|S,  Xbox One,  PlayStation 4","Action,  Puzzle,  Saboteur",9,Leana Hafer
202,Monster Train ,Shiny Shoe,Good Shepherd Entertainment,2020-05-21,"PC,  Xbox One,  Nintendo Switch","RPG,  Card,  Battle",9,Dan Stapleton
203,Cyberpunk 2077 for Xbox One and PlayStation 4 ,CD Projekt Red,"Warner Bros.  Interactive, CD Projekt",2020-12-10,"Stadia,  PlayStation 4,  Xbox One,  PC,  Xbox Series X|S,  PlayStation 5",RPG,4,Destin Legarie
204,Gears 5: Hivebusters DLC ,The Coalition,Microsoft Game Studios,2020-12-15,"Xbox Series X|S,  Xbox One,  PC","Shooter,  DLC / Expansion",8,Brian Barnett
205,Medal of Honor: Above and Beyond ,Respawn Entertainment,Oculus Studios,2020-12-10,PC,"Shooter,  VR",6,Gabriel Moss
206,World of Warcraft: Shadowlands ,Blizzard Entertainment,"Vivendi Games, Blizzard Entertainment",2004-11-22,"Macintosh,  PC","RPG,  MMO",8,Leana Hafer
207,FIFA 21 ,EA Canada,Electronic Arts,2020-12-04,"Xbox Series X|S,  PlayStation 5","Sports,  Soccer",7,Simon Cardy
208,Call of the Sea ,Out of the Blue,Raw Fury Games,2020-12-08,"Xbox One,  Xbox Series X|S,  PC,  Luna,  PlayStation 5,  PlayStation 4","Adventure,  Puzzle",9,Simon Cardy
209,Cyberpunk 2077 PC ,CD Projekt Red,"Warner Bros.  Interactive, CD Projekt",2020-12-10,"Stadia,  PlayStation 4,  Xbox One,  PC,  Xbox Series X|S,  PlayStation 5",RPG,9,Tom Marks
210,Haven ,The Game Bakers,The Game Bakers,2020-12-03,"PlayStation 5,  PC,  Xbox One,  Xbox Series X|S,  Nintendo Switch,  PlayStation 4",RPG,8,Kyle Campbell
211,Empire of Sin ,Romero Games,Paradox  Interactive,2020-12-01,"Xbox One,  PlayStation 4,  PC,  Nintendo Switch","RPG,  Strategy",4,Jonathan Bolding
212,Twin Mirror ,DONTNOD Entertainment,Bandai Namco Games,2020-12-01,"PlayStation 4,  PC,  Xbox One",Adventure,5,Tristan Ogilvie
213,Immortals Fenyx Rising ,Ubisoft Quebec City,Ubisoft,2020-12-03,"Xbox Series X|S,  PlayStation 5,  Nintendo Switch,  Stadia,  PC,  Xbox One,  PlayStation 4",Action,7,Cam Shea
214,Destiny 2: Beyond Light ,Bungie Software,Bungie Software,2020-11-10,"Xbox One,  PC,  PlayStation 4,  Xbox Series X|S,  Stadia,  PlayStation 5","RPG,  Shooter,  DLC / Expansion",7,Travis Northup
215,Sackboy: A Big Adventure ,Sumo Digital,Sony Interactive Entertainment,2020-11-12,"PlayStation 4,  PlayStation 5",Adventure,8,Tom Marks
216,Dirt 5 ,Codemasters,Codemasters,2020-11-06,"Xbox One,  PlayStation 4,  PC,  Xbox Series X|S,  PlayStation 5,  Stadia,  Luna",Racing,8,Luke Reilly
217,Fuser ,Harmonix,NCSoft,2020-11-10,"Nintendo Switch,  Xbox One,  PlayStation 4,  PC",Music,7,Jarrett Green
218,Hyrule Warriors: Age of Calamity ,Koei Tecmo,Nintendo,2020-11-20,Nintendo Switch,Action,9,Cam Shea
222,Call of Duty: Black Ops Cold War Zombies ,"Raven Software,  Treyarch",Activision,2020-11-13,"Xbox Series X|S,  Xbox One,  PlayStation 5,  PlayStation 4,  PC",Shooter,7,David Jagneaux
223,Call of Duty: Black Ops Cold War Multiplayer ,"Raven Software,  Treyarch",Activision,2020-11-13,"Xbox Series X|S,  Xbox One,  PlayStation 5,  PlayStation 4,  PC",Shooter,6,Simon Cardy
224,NBA 2K21 for Xbox Series X and PlayStation 5 ,"Visual Concepts,  2K Sports",2K Games,2020-11-10,"Xbox Series X|S,  PlayStation 5","Sports,  Basketball",7,Ben Vollmer
225,Demon's Souls ,"SIE Japan Studio,  Bluepoint Games",Sony Interactive Entertainment,2020-11-12,PlayStation 5,"Action,  RPG",9,Mitchell Saltzman
226,Marvel's Spider-Man Remastered ,Insomniac Games,Sony Computer Entertainment,2020-11-12,"PlayStation 5,  PlayStation 4","Superhero,  Action,  Remastered",9,Jonathon Dornbush
227,Godfall ,Counterplay Games,Gearbox Software,2020-11-12,"PlayStation 5,  PC,  PlayStation 4","RPG,  Shooter",6,Tom Marks
228,Game & Watch: Super Mario Bros. ,Nintendo,Nintendo,2020-11-13,LCD games,"Platformer,  Productivity",9,Seth G. Macy
229,Call of Duty: Black Ops Cold War – Campaign ,"Raven Software,  Treyarch",Activision,2020-11-13,"Xbox Series X|S,  Xbox One,  PlayStation 5,  PlayStation 4,  PC",Shooter,7,Ryan McCaffrey
231,The Pathless ,Giant Squid,Annapurna Interactive,2020-11-12,"PlayStation 5,  iPhone,  PlayStation 4,  PC",Adventure,8,Jonathon Dornbush
233,Monster Truck Championship ,Teyon,Nacon,2020-10-15,"PC,  Xbox One,  Nintendo Switch,  PlayStation 4",Racing,7,Luke Reilly
234,Bugsnax ,"Young Horses,  Inc.","Young Horses, Inc.",2020-11-12,"PC,  PlayStation 4,  PlayStation 5","Adventure,  RPG,  Simulation,  First-Person",8,Simon Cardy
235,Assassin's Creed Valhalla ,Ubisoft Montreal,Ubisoft,2020-11-10,"Xbox Series X|S,  Xbox One,  Stadia,  PC,  PlayStation 4,  PlayStation 5","Action,  Adventure",8,Brandin Tyrrel
